"Humidity","Temperature","Air_Pressure","Precipitation"
"77","27.4","101.1","Light_Rain"
"78","27.3","101.24","Light_Rain"
"77","27.8","101.32","Light_Rain"
"78","27.7","101.36","Light_Rain"
"74","28","101.33","Light_Rain"
"77","27.9","101.27","Light_Rain"
"80","27.7","101.21","Light_Rain"
"92","25.8","101.17","Moderate_Rain"
"87","27","101.15","Heavy_Rain"
"87","27.1","101.21","Light_Rain"
"80","28.4","101.26","Light_Rain"
"75","27.8","101.23","Light_Rain"
"73","27.1","101.17","Light_Rain"
"77","27.6","101.1","Light_Rain"
"79","27.9","101.01","Light_Rain"
"79","28.4","101.02","Light_Rain"
"80","27.9","101.06","Light_Rain"
"76","28.1","100.98","Light_Rain"
"74","27.6","100.93","Light_Rain"
"76","27.5","100.88","Light_Rain"
"77","27.7","100.9","Light_Rain"
"81","27.5","100.99","Light_Rain"
"78","28.4","100.99","Light_Rain"
"74","28.5","100.94","Light_Rain"
"75","28.3","101","Light_Rain"
"80","28.4","101.05","Light_Rain"
"80","28.5","101.07","Moderate_Rain"
"89","26","101","Moderate_Rain"
"83","27.4","100.9","Light_Rain"
"82","27.9","100.88","Light_Rain"
"79","28.5","100.84","Light_Rain"
"82","28.4","100.81","Light_Rain"
"84","27.8","100.84","Light_Rain"
"80","27.9","100.8","Moderate_Rain"
"82","28","100.77","Heavy_Rain"
"80","28.9","100.77","Light_Rain"
"80","29.1","100.91","Heavy_Rain"
"86","26.9","101.05","Light_Rain"
"90","25.3","101.02","Heavy_Rain"
"82","27.4","100.96","Light_Rain"
"91","25.9","101.04","Heavy_Rain"
"81","27.5","101.15","Light_Rain"
"82","27.8","101.17","Light_Rain"
"90","27.1","101.13","Moderate_Rain"
"84","27.7","101.08","Light_Rain"
"84","27.7","101.07","Light_Rain"
"83","28.4","100.97","Light_Rain"
"79","29","100.84","Light_Rain"
"79","28.8","100.8","Light_Rain"
"84","28.3","100.72","Light_Rain"
"81","28.7","100.68","Light_Rain"
"81","28.5","100.72","Light_Rain"
"79","28.6","100.78","Light_Rain"
"77","28.8","100.81","Light_Rain"
"86","27.6","100.75","Moderate_Rain"
"90","27","100.76","Heavy_Rain"
"87","27","100.79","Light_Rain"
"90","26.4","100.81","Heavy_Rain"
"83","28.2","100.78","Light_Rain"
"85","27.5","100.82","Light_Rain"
"87","27.3","100.82","Light_Rain"
"80","27.6","100.95","Light_Rain"
"84","27.1","100.97","Light_Rain"
"85","27.6","100.85","Heavy_Rain"
"90","27.1","100.8","Moderate_Rain"
"87","26.8","100.82","Light_Rain"
"83","28.2","100.83","Light_Rain"
"85","28.2","100.85","Light_Rain"
"84","28.6","100.89","Light_Rain"
"89","27.5","100.86","Heavy_Rain"
"83","28.3","100.89","Light_Rain"
"84","28.1","100.96","Light_Rain"
"84","28.9","101.03","Light_Rain"
"89","27.4","101.01","Heavy_Rain"
"90","27","100.98","Heavy_Rain"
"85","27.5","100.98","Heavy_Rain"
"89","26.6","101.09","Light_Rain"
"87","27.6","101.1","Heavy_Rain"
"90","27.3","101.03","Moderate_Rain"
"91","27.2","101.05","Heavy_Rain"
"87","27.9","101.01","Light_Rain"
"86","27.5","100.94","Moderate_Rain"
"82","28.3","100.93","Light_Rain"
"88","27.9","100.93","Light_Rain"
"92","27.4","100.94","Moderate_Rain"
"90","27.3","100.99","Moderate_Rain"
"91","27.4","100.92","Light_Rain"
"85","28.5","100.81","Light_Rain"
"85","28","100.88","Light_Rain"
"93","25.4","101","Heavy_Rain"
"85","27.4","101.06","Light_Rain"
"85","27.9","100.95","Moderate_Rain"
"83","27.9","100.88","Light_Rain"
"84","28.3","100.8","Heavy_Rain"
"80","28.9","100.76","Light_Rain"
"85","27.7","100.71","Light_Rain"
"88","27.4","100.59","Light_Rain"
"88","27.3","100.58","Light_Rain"
"85","28.3","100.58","Moderate_Rain"
"87","28","100.64","Light_Rain"
"85","28.4","100.59","Moderate_Rain"
"92","26.3","100.65","Moderate_Rain"
"86","27.9","100.63","Heavy_Rain"
"96","25.3","100.68","Violent_Rain"
"90","26.6","100.81","Moderate_Rain"
"88","27.4","100.82","Light_Rain"
"82","28.7","100.77","Light_Rain"
"78","29.1","100.84","Light_Rain"
"79","29","100.91","Light_Rain"
"82","29.2","100.94","Light_Rain"
"81","29.5","100.93","Light_Rain"
"82","29.3","100.92","Moderate_Rain"
"79","28.5","101.01","Light_Rain"
"79","29.4","101.05","Light_Rain"
"79","29.4","101.01","Light_Rain"
"81","29.4","100.97","Light_Rain"
